32
0	2033	1105	1768	1131	1520	1097	1925	1957	1045	1091	1381	1323	1627	1679	1433	1610	2015	1928	1315	1090	1893	1587	1034	1571	1562	1246	2044	1638	1632	1666	1575	
2033	0	1766	1662	1267	1172	1805	1217	2031	1864	1868	1482	1834	2037	1215	1055	1943	1446	1295	1083	1141	1557	1445	1390	1392	1145	1910	1108	1731	1726	1402	1965	
1105	1766	0	1406	1095	1031	1948	1542	1649	1424	1799	1086	1987	1866	1719	1236	2009	1702	1081	1308	1674	1793	1290	1048	1316	1274	1773	1190	1087	1117	1057	2029	
1768	1662	1406	0	1119	1772	1411	1786	1104	1592	2043	1778	1954	1324	1741	1354	1149	1107	1123	1525	1330	2011	1950	1819	2039	1522	1540	1336	1258	1167	2034	1429	
1131	1267	1095	1119	0	1659	1554	1777	1601	1748	1281	1908	1505	1779	1277	1953	1650	1896	1271	1992	1849	1481	1622	1944	1822	1904	1452	1892	1761	1989	1784	1120	
1520	1172	1031	1772	1659	0	1860	1311	1633	1327	1139	1528	1211	1353	1663	1603	1582	1347	1840	1616	1350	1625	1305	1880	1705	1252	1079	1250	1524	1847	1683	1929	
1097	1805	1948	1411	1554	1860	0	1867	1417	1473	1380	1266	1292	1704	1510	1426	1128	1678	1263	1585	1203	1694	1885	1245	1144	1237	1320	1615	1092	1050	1493	1177	
1925	1217	1542	1786	1777	1311	1867	0	1474	1480	1952	1765	1338	1028	1155	1548	1998	1488	1076	1563	1160	1637	1265	1845	1535	1504	1715	1260	1677	1301	1070	1823	
1957	2031	1649	1104	1601	1633	1417	1474	0	1545	1161	1949	1800	1789	1193	1063	1074	1921	1243	1884	1684	1383	1499	1775	1514	2008	1532	1346	1664	1080	1903	1859	
1045	1864	1424	1592	1748	1327	1473	1480	1545	0	1251	1604	1135	1335	1696	1142	1657	1075	1285	1915	1030	1489	1964	1912	1931	2046	1054	1209	1255	1803	1049	1345	
1091	1868	1799	2043	1281	1139	1380	1952	1161	1251	0	1151	1368	1581	1192	1876	1175	1630	1216	1200	1270	1231	1422	1332	1807	1326	1184	1197	1331	1812	1518	1425	
1381	1482	1086	1778	1908	1528	1266	1765	1949	1604	1151	0	1594	1456	1268	1658	1898	1229	1607	1746	2045	1407	1036	1718	1861	1869	1605	1724	2023	1634	1453	1570	
1323	1834	1987	1954	1505	1211	1292	1338	1800	1135	1368	1594	0	1124	1198	1264	1228	1687	1734	1579	1132	1478	1419	1234	1024	1313	1363	1577	1494	1776	1253	1467	
1627	2037	1866	1324	1779	1353	1704	1028	1789	1335	1581	1456	1124	0	1537	1940	1698	1708	1348	1806	1693	1352	1476	2035	1795	1289	1515	1937	2013	2038	1389	1401	
1679	1215	1719	1741	1277	1663	1510	1155	1193	1696	1192	1268	1198	1537	0	1889	1961	1990	1855	1534	1284	1714	1837	1130	1398	1286	1846	1568	1850	1042	1963	1374	
1433	1055	1236	1354	1953	1603	1426	1548	1063	1142	1876	1658	1264	1940	1889	0	1983	1732	1753	1821	1218	1439	1223	1183	1756	1375	1673	1648	1309	1526	2040	2016	
1610	1943	2009	1149	1650	1582	1128	1998	1074	1657	1175	1898	1228	1698	1961	1983	0	1434	1640	1995	1094	1689	1825	1820	1561	1774	1547	1423	1360	1624	1831	1182	
2015	1446	1702	1107	1896	1347	1678	1488	1921	1075	1630	1229	1687	1708	1990	1732	1434	0	1589	2036	1475	1082	1852	1148	2007	1385	1459	1241	1342	2004	1206	1367	
1928	1295	1081	1123	1271	1840	1263	1076	1243	1285	1216	1607	1734	1348	1855	1753	1640	1589	0	1291	1523	1706	1620	1321	1470	1951	1635	1111	1102	1617	1917	2027	
1315	1083	1308	1525	1992	1616	1585	1563	1884	1915	1200	1746	1579	1806	1534	1821	1995	2036	1291	0	1853	1351	1178	1372	1052	1813	2000	1596	1608	1125	2021	1447	
1090	1141	1674	1330	1849	1350	1203	1160	1684	1030	1270	2045	1132	1693	1284	1218	1094	1475	1523	1853	0	1771	1988	1794	1249	1919	1700	1913	1841	1187	1969	1027	
1893	1557	1793	2011	1481	1625	1694	1637	1383	1489	1231	1407	1478	1352	1714	1439	1689	1082	1706	1351	1771	0	1511	1388	1798	1927	1576	1435	1307	1962	1416	1404	
1587	1445	1290	1950	1622	1305	1885	1265	1499	1964	1422	1036	1419	1476	1837	1223	1825	1852	1620	1178	1988	1511	0	1827	1829	1361	2006	1244	1711	1629	1769	1591	
