27
0	1218	1352	740	875	1334	1355	1038	1307	1215	1149	1288	1438	1025	1426	1197	1211	765	1262	973	1371	1184	1080	1071	871	1341	891	
1218	0	1316	862	1098	819	1017	972	980	1252	1139	941	994	1237	949	852	860	1202	1397	1395	1304	1452	1250	1208	859	1285	1128	
1352	1316	0	1093	956	1161	1299	1393	1206	1423	841	939	1347	914	1255	1276	1182	1435	757	1313	1403	1053	1364	1225	1085	1446	1141	
740	862	1093	0	1064	1370	1315	988	857	1325	806	811	919	1422	1118	1013	1164	1303	831	1011	1439	1062	1380	769	1249	1314	1441	
875	1098	956	1064	0	1054	930	850	1045	855	1381	1127	1369	772	1340	1273	1159	1102	788	920	1271	1281	1084	1266	1239	1356	1298	
1334	819	1161	1370	1054	0	1173	1019	1135	842	1140	760	907	1243	963	1189	1146	1133	789	1099	1263	791	1074	1354	797	928	982	
1355	1017	1299	1315	930	1173	0	1432	878	1308	873	868	1171	1420	953	748	853	752	921	763	1311	1258	1104	733	1153	1169	1245	
1038	972	1393	988	850	1019	1432	0	1205	756	1357	938	1033	1365	977	767	794	1191	1143	929	1398	898	799	936	736	1152	1368	
1307	980	1206	857	1045	1135	878	1205	0	971	1190	1367	934	915	987	1388	1246	1220	1409	1020	1168	741	1125	1148	894	844	759	
1215	1252	1423	1325	855	842	1308	756	971	0	993	734	985	1147	1431	950	1077	1203	798	1425	1274	755	1066	848	1267	1016	1430	
1149	1139	841	806	1381	1140	873	1357	1190	993	0	1073	866	1086	1343	745	1043	1158	991	795	895	1040	1346	744	1177	1157	1082	
1288	941	939	811	1127	760	868	938	1367	734	1073	0	1001	778	1390	1230	1447	923	766	758	1300	1333	1450	1047	1360	1116	1199	
1438	994	1347	919	1369	907	1171	1033	934	985	866	1001	0	861	1451	1443	851	1012	1429	1167	807	905	1434	747	1081	1078	761	
1025	1237	914	1422	772	1243	1420	1365	915	1147	1086	778	861	0	1223	1244	1003	908	1389	1195	1192	1421	1418	762	847	1075	1087	
1426	949	1255	1118	1340	963	953	977	987	1431	1343	1390	1451	1223	0	1229	1222	1126	960	1251	901	826	1455	893	830	1106	808	
1197	852	1276	1013	1273	1189	748	767	1388	950	745	1230	1443	1244	1229	0	1069	910	1330	854	1272	820	1293	976	1332	1217	899	
1211	860	1182	1164	1159	1146	853	794	1246	1077	1043	1447	851	1003	1222	1069	0	1009	1015	1309	1063	746	1427	1221	737	1415	1269	
765	1202	1435	1303	1102	1133	752	1191	1220	1203	1158	923	1012	908	1126	910	1009	0	1070	732	1036	969	730	1111	1076	1257	1055	
1262	1397	757	831	788	789	921	1143	1409	798	991	766	1429	1389	960	1330	1015	1070	0	1034	1379	743	1240	1291	888	1448	1027	
973	1395	1313	1011	920	1099	763	929	1020	1425	795	758	1167	1195	1251	854	1309	732	1034	0	864	1039	822	957	958	925	1336	
1371	1304	1403	1439	1271	1263	1311	1398	1168	1274	895	1300	807	1192	901	1272	1063	1036	1379	864	0	1327	926	1044	1413	1310	979	
1184	1452	1053	1062	1281	791	1258	898	741	755	1040	1333	905	1421	826	820	746	969	743	1039	1327	0	750	948	1317	909	927	
1080	1250	1364	1380	1084	1074	1104	799	1125	1066	1346	1450	1434	1418	1455	1293	1427	730	1240	822	926	750	0	1302	1323	1024	1023	
1071	1208	1225	769	1266	1354	733	936	1148	848	744	1047	747	762	893	976	1221	1111	1291	957	1044	948	1302	0	918	1242	839	
871	859	1085	1249	1239	797	1153	736	894	1267	1177	1360	1081	847	830	1332	737	1076	888	958	1413	1317	1323	918	0	792	1144	
1341	1285	1446	1314	1356	928	1169	1152	844	1016	1157	1116	1078	1075	1106	1217	1415	1257	1448	925	1310	909	1024	1242	792	0	1095	
891	1128	1141	1441	1298	982	1245	1368	759	1430	1082	1199	761	1087	808	899	1269	1055	1027	1336	979	927	1023	839	1144	1095	0	
